Bureau,Gender,Grade,Title,Name,YearsService
Diplomatic Security (DS),male,FS-3,Manager,Fegley ,2
Overseas Buildings Operations (OBO),male,FS-4,Team Member,Richard Meade,17
Chief Information Officer (CIO),female,N/A,Manager,Cherlyn Mcmillian,17
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-15,Manager,Scott Lambert,12
Legislative Affairs (H),female,FS3,Manager,Lindsey Saunders,13
Counterterrorism (CT),female,GS-10,Analyst,   Ok Harrell,15
Allowances (A/OPR/ALS),male,N/A,Team Member,Alfred Wooley  ,16
Inspector General (OIG),male,FS-5,Team Member,Gary Vass,1
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Team Member,   John Young,10
International Security and Nonproliferation (ISN),male,SFS-4,Executive,Robert Welch     ,20
Administration (A),male,FS8,Team Member,Truman Slaughter,2
Science & Technology Adviser (STAS),female,FS-3,Manager,Christine Rivera,9
International Information Programs (IIP),male,FS-6,Analyst,  Blair Turner,21
"Arms Control, Verification and Compliance (AVC)",male,FS-2,Manager,  Matthew Freeman,8
Overseas Buildings Operations (OBO),female,FS-3,Manager,Christina Maisonave   ,3
Budget and Planning (BP),female,FS-7,Team Member,May Stone,7
Quadrennial Diplomacy and Development Review (QDDR),female,GS15,Manager,   Yanira Peters,23
Energy Resources (ENR),female,N/A,Manager,Barbara Rice,23
"Democracy, Human Rights, and Labor (DRL)",male,SFS 4,Executive,Alan Hill    ,22
Oceans and International Environmental and Scientific Affairs(OES),female,FS-3,Manager,Wanda Nave,8
Chief Information Officer (CIO),female,FS-7,Team Member,   Barbara Simmons,11
Trafficking in Persons (TIP),male,FS-8,Team Member,     Clifton Chavez,14
Global Youth Issues (GYI),male,N/A,Manager,     Frederick Alba   ,16
Executive Secretariat (S/ES),female,FS8,Team Member,Maria Hukill   ,22
Medical Services (MED),male,SES-1,Executive,Philip Banks,23
Executive Secretariat (S/ES),female,FS-9,Team Member,Jacqueline Buskirk,17
Science & Technology Adviser (STAS),female,FS-1,Manager,    Frances Foley ,10
Educational and Cultural Affairs (ECA),male,GS9,Team Member,   Ronald Best,19
Inspector General (OIG),male,FS-9,Analyst,Marty Bailey,1
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-1,Manager,    Tamiko Dugan    ,9
Conflict and Stabilization Operations (CSO),male,FS-3,Manager, Anthony Ward   ,22
Legal Adviser (L),male,N/A,Team Member,  Raphael Alexander,9
Conflict and Stabilization Operations (CSO),female,FS-6,Team Member,     Schmitt,6
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-1,Mgmt,    Ronald Farmer,7
Counterterrorism (CT),male,N/A,Team Member,Stein,22
Medical Services (MED),female,FS-4,Analyst,Alessi,15
"Arms Control, Verification and Compliance (AVC)",female,GS-13,Manager,Judy Banks,6
Administration (A),male,GS-8,Team Member,   Ryan Judge,24
Legal Adviser (L),female,FS-1,Manager,     Elmira Allen,21
Executive Secretariat (S/ES),female,SES-5,Executive,Gloria Pak     ,23
Protocol (S/CPR),male,FS-9,Team Member,   Charles Freeman,15
Chief Information Officer (CIO),male,GS 15,Manager,Hubner,24
Counterterrorism (CT),female,GS-14,Manager,  Sheila Thomas,13
Budget and Planning (BP),female,FS-6,Team Member, Thalia Smith,24
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,    Shalonda Delacruz,10
Science & Technology Adviser (STAS),male,N/A,Manager,Agustin Moretz     ,16
Comptroller and Global Financial Services (CGFS),female,FS-9,Team Member,Demetria Westlake,4
"Democracy, Human Rights, and Labor (DRL)",female,FS-5,Analyst,Joann Hayes,16
"Arms Control, Verification and Compliance (AVC)",female,N/A,Team Member,Merlene Rhymer,4
Administration (A),female,FS-4,Team Member,Morago     ,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Team Member,   Katherine Ramos    ,11
Foreign Missions (OFM),female,FS-1,Manager,Danielle Hall,18
Intelligence and Research (INR),male,FS7,Team Member,Michael Lewis  ,19
Policy Planning Staff (S/P),male,FS-7,Team Member,Peter Toborg  ,24
Energy Resources (ENR),female,FS-2,Manager,Eva Mcarthur   ,25
Counterterrorism (CT),female,FS-8,Team Member,   Olga Dalton,10
Human Resources (DGHR),male,GS-14,Mgmt,Kenny Adamczyk,20
Medical Services (MED),female,FS-1,Manager,Shanna Northrup,3
Medical Services (MED),female,N/A,Team Member, Lakeshia Cooley,24
International Narcotics and Law Enforcement Affairs (INL),female,GS-8,Team Member,Tammie Hileman,6
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-9,Team Member,   Eric Donato,3
Trafficking in Persons (TIP),male,GS-13,Manager,   Philip Archila,23
Oceans and International Environmental and Scientific Affairs(OES),female,FS 2,Manager,Kami Mullins,20
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-9,Team Member,Law,18
Diplomatic Security (DS),female,FS-8,Team Member,  Linda Baumgardner,8
Administration (A),female,FS-4,Team Member,Doreen Oleson,15
Inspector General (OIG),male,GS-10,Team Member,Walter Mcdonald,5
International Information Programs (IIP),male,N/A,Analyst,James Crawford,8
"Arms Control, Verification and Compliance (AVC)",male,FS8,Analyst,  Malcolm Ditto,2
International Organization Affairs (IO),male,FS-1,Manager,James Sweeney,25
"Management Policy, Rightsizing and Innovation (PRI)",male,FS 4,Team Member, Jason Buchanan,2
Global Youth Issues (GYI),female,N/A,Manager,Lois Barnes   ,5
International Security and Nonproliferation (ISN),male,N/A,Manager,Jackson   ,4
Near Eastern Affairs (NEA),male,FS-3,Manager,Lester Edwards     ,1
Legal Adviser (L),male,N/A,Team Member, Clifton Hall,5
Global Youth Issues (GYI),female,FS-2,Manager,Brenda Moon  ,19
Consular Affairs (CA),male,N/A,Manager,   Joseph Massey   ,11
"Democracy, Human Rights, and Labor (DRL)",female,FS6,Team Member,Dixie Mattson     ,4
Administration (A),male,FS-7,Team Member,   Harold Smith    ,20
East Asian and Pacific Affairs (EAP),female,FS-9,Team Member,Anna Alvarez,22
Administration (A),female,GS-10,Analyst,Alicia Davila  ,2
Global Youth Issues (GYI),male,FS-2,Manager,Kenneth Marr,8
Protocol (S/CPR),female,FS-5,Team Member,Joanne Stansell,3
Oceans and International Environmental and Scientific Affairs(OES),female,FS-8,Team Member,Elizabeth Laroche     ,7
Counterterrorism (CT),female,GS-9,Analyst,Valeri Kiser,18
Science & Technology Adviser (STAS),male,FS 3,Manager,Nelson Mutch,9
Global AIDS Coordinator (S/GAC),male,FS-1,Manager,     David Adams,19
Legal Adviser (L),female,FS-6,Team Member,Donna Wallace ,17
Chief Information Officer (CIO),male,N/A,Mgmt,Jeffers,5
International Security and Nonproliferation (ISN),male,FS-1,Manager,Timothy Opperman,3
East Asian and Pacific Affairs (EAP),female,FS-9,Team Member,    Kathryn Malik   ,23
Science & Technology Adviser (STAS),female,FS-9,Team Member,Angela Lopez,13
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Team Member,   Kohnz,4
East Asian and Pacific Affairs (EAP),male,GS-7,Team Member,Sylvester Silver,20
Human Resources (DGHR),female,GS-9,Analyst,Beverly Abbott   ,14
Overseas Buildings Operations (OBO),male,FS-2,Manager,    Ruiz  ,5
International Organization Affairs (IO),male,FS 2,Manager,Rose,5
Comptroller and Global Financial Services (CGFS),female,N/A,Manager,Lora Ramaudar,16
Foreign Missions (OFM),female,N/A,Team Member,Susan Taylor,2
Conflict and Stabilization Operations (CSO),male,FS-7,Team Member,  Dwayne Matthews,6
Legislative Affairs (H),female,GS 14,Manager,Pam Close,14
Conflict and Stabilization Operations (CSO),male,N/A,Team Member,    David Lenton,14
Protocol (S/CPR),female,N/A,Manager,Connie Arsenault     ,19
"Population, Refugees, and Migration (PRM)",female,FS 2,Manager,Leila Ascher  ,9
Foreign Missions (OFM),female,FS-3,Manager, Virginia Holding,5
Chief Information Officer (CIO),female,FS-4,Team Member,   Diana Mccollum,11
"Democracy, Human Rights, and Labor (DRL)",female,FS-3,Manager,Gladys Murray,6
Comptroller and Global Financial Services (CGFS),male,GS-8,Team Member,Peter Linden,20
Budget and Planning (BP),female,N/A,Team Member,Rochelle Nix,7
Conflict and Stabilization Operations (CSO),male,FS-5,Team Member,Roger Humphreys ,8
Public Affairs (PA),female,N/A,Manager,Rhonda Dickinson,20
Science & Technology Adviser (STAS),male,FS4,Team Member,John Hernandez,5
Overseas Buildings Operations (OBO),female,FS-3,Manager,Peggy Moody,14
Budget and Planning (BP),male,GS-8,Team Member,Gary Maloney,25
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS13,Manager,Jack Herring    ,8
Administration (A),male,FS-7,Team Member,Bobo,19
Human Resources (DGHR),female,GS 13,Mgmt,Winnie Viera,3
Allowances (A/OPR/ALS),female,N/A,Team Member,Donna Williams,7
Oceans and International Environmental and Scientific Affairs(OES),female,FS-3,Manager,     Pamela Christiansen,18
International Narcotics and Law Enforcement Affairs (INL),female,N/A,Analyst,Liliana Garnett,7
International Organization Affairs (IO),female,FS-1,Manager,Kathleen Anderson,5
Global AIDS Coordinator (S/GAC),female,FS-2,Manager,  Tamra Grindle  ,12
Mission to the United Nations (USUN),female,FS-2,Manager,   Angela Correa ,3
Inspector General (OIG),female,FS-6,Team Member,Maureen Riley,9
East Asian and Pacific Affairs (EAP),male,FS-3,Manager,Richard Vaughan,1
Foreign Service Institute (FSI),female,GS-11,Team Member,Donna Jones,7
Protocol (S/CPR),male,FS-1,Manager,Joshua Cornelius,3
Human Resources (DGHR),female,FS9,Team Member,    Gordon ,7
Counterterrorism (CT),male,FS-4,Team Member,Lonnie Lofquist,7
Medical Services (MED),female,GS-15,Mgmt,Miller     ,9
Policy Planning Staff (S/P),male,FS-5,Team Member,Richard Render,23
Energy Resources (ENR),female,FS 1,Manager,Amy Parker,13
Energy Resources (ENR),female,FS-4,Team Member,     Imelda Botello     ,22
Administration (A),male,FS-4,Team Member,Freddie Ferrini,22
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-5,Team Member,  Fannie Katz,16
Administration (A),male,FS-7,Team Member,Theodore Quimby    ,16
Economic and Business Affairs (EB),female,FS-7,Team Member,  Shannon Paris,18
Human Resources (DGHR),female,FS-6,Team Member,   Marianne Summers,21
South and Central Asian Affairs (SCA),male,FS-8,Analyst,  Derrick Meriwether    ,15
Global Youth Issues (GYI),female,GS-14,Manager,Audrey Swanson,2
Chief Information Officer (CIO),female,FS-3,Manager,Melinda Biederman,5
Administration (A),female,N/A,Team Member,Dorothy Mathews   ,2
Foreign Missions (OFM),male,GS 8,Team Member,Carlos Gentry,16
Administration (A),female,N/A,Team Member,  Gretchen Gulick,3
Information Resource Management (IRM),female,FS-6,Team Member,Guadalupe Dawson,16
Comptroller and Global Financial Services (CGFS),male,GS 13,Team Member, Allen George,7
Medical Services (MED),male,SFS-3,Executive,  Earl Kohn   ,21
Science & Technology Adviser (STAS),female,GS-13,Team Member,Janice Johnson,14
Foreign Missions (OFM),female,FS-4,Analyst,Michelle Smith,25
Oceans and International Environmental and Scientific Affairs(OES),female,GS 10,Team Member,Lois Alexander,22
Counterterrorism (CT),male,N/A,Team Member,Ramon,6
Science & Technology Adviser (STAS),male,N/A,Manager,Gerard Carrington,19
Policy Planning Staff (S/P),male,GS-8,Team Member, Michael Pel,25
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Team Member,James Stewart,15
Counterterrorism (CT),male,GS 7,Team Member,Martin Mancuso ,6
Mission to the United Nations (USUN),female,SFS-1,Executive,Yvonne Deaton,23
Protocol (S/CPR),female,GS-14,Manager,Monique Brede,7
Energy Resources (ENR),male,FS-1,Manager,Adam Marvin     ,3
Executive Secretariat (S/ES),male,FS-6,Team Member,Sam Santiago,24
Diplomatic Security (DS),male,GS-7,Team Member,Margarito Campbell  ,8
Counterterrorism (CT),female,FS-3,Manager,Betsy Strickland,7
Political-Military Affairs (PM),male,FS-2,Manager, Eugene Barnett,22
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-1,Manager,   Mildred Hopp,18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,Paul Herms,3
European and Eurasian Affairs (EUR),female,FS-8,Team Member,    Pat Nabors,3
Counterterrorism (CT),female,GS-10,Team Member,  Donna Levy    ,19
Medical Services (MED),female,GS-15,Manager,  Olive Quezada,23
"Democracy, Human Rights, and Labor (DRL)",female,FS-6,Team Member,Sheryl Gibson,5
Foreign Missions (OFM),male,GS-12,Analyst, Antoine Hall,1
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Chapman,6
International Information Programs (IIP),male,FS-5,Team Member,    Christopher Mcgowan,4
Intelligence and Research (INR),male,N/A,Manager,Arnold Rivera,17
Economic and Business Affairs (EB),male,N/A,Analyst,Jose Gilderman    ,7
Western Hemisphere Affairs (WHA),male,FS-5,Analyst,Chris Jefferson,11
Administration (A),female,GS-8,Team Member,Lindsey Kiedrowski,8
Intelligence and Research (INR),female,FS-8,Team Member,Jodie Wright,11
Political-Military Affairs (PM),female,FS-7,Team Member,     Sally Hemp,25
Science & Technology Adviser (STAS),female,N/A,Team Member,Carolyn Lopez,17
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,Guy Glenn    ,4
East Asian and Pacific Affairs (EAP),female,FS-3,Manager,Sheila Nguyen,11
Conflict and Stabilization Operations (CSO),female,FS7,Analyst, Behling ,14
Chief Information Officer (CIO),female,GS-14,Manager,Ruth Harris ,19
Oceans and International Environmental and Scientific Affairs(OES),male,GS-10,Team Member,  Willie Juarez,11
Legislative Affairs (H),female,FS-1,Manager,     Vanessa Pace,24
Human Resources (DGHR),male,GS-7,Team Member,  Douglas Wyatt,10
Administration (A),female,GS-13,Manager,Eleanor Hotchkiss,23
Information Resource Management (IRM),female,FS-7,Team Member, Elizabeth Blanchette,7
Protocol (S/CPR),female,GS-10,Team Member,Janet Orf,3
Energy Resources (ENR),male,N/A,Team Member,   Beach,25
Educational and Cultural Affairs (ECA),female,FS-7,Team Member,    Mary Clyne    ,7
Intelligence and Research (INR),male,FS-3,Manager,Armando Rinaldi,3
Global Youth Issues (GYI),male,GS-15,Manager,Mark Scott     ,6
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Team Member,Joseph Jimerson,3
Trafficking in Persons (TIP),male,GS-11,Team Member,     Daniel Langworthy    ,3
Oceans and International Environmental and Scientific Affairs(OES),male,GS-15,Manager,Rodriguez,20
Intelligence and Research (INR),male,SFS-2,Executive,Howard Mathews,21
Budget and Planning (BP),female,GS-8,Team Member,Stephanie Hart,10
Oceans and International Environmental and Scientific Affairs(OES),male,FS-4,Team Member,Johnny Stroud,10
European and Eurasian Affairs (EUR),male,FS-1,Mgmt,Robert Damon  ,21
Intelligence and Research (INR),male,GS-13,Team Member,Perry Ames,17
Inspector General (OIG),female,FS-5,Team Member,Wilma Pavlovic ,14
Public Affairs (PA),female,N/A,Manager,    Deann Manzanares,11
Mission to the United Nations (USUN),female,FS1,Manager,Michelle Wynn,1
Protocol (S/CPR),female,FS-6,Team Member,Jacquelyn Clemens,9
Mission to the United Nations (USUN),female,FS-5,Team Member, Bronwyn Rosales,20
Political-Military Affairs (PM),female,N/A,Analyst,Ilana Russell   ,9
Administration (A),male,GS-13,Team Member,Hill,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-4,Team Member,Mia Palumbo    ,14
Energy Resources (ENR),male,FS-3,Manager, Dennis Forbush,6
Diplomatic Security (DS),female,FS 9,Team Member,Jacqueline Jones,23
Comptroller and Global Financial Services (CGFS),female,FS-5,Team Member,  Christina Rokusek ,8
Oceans and International Environmental and Scientific Affairs(OES),female,GS-14,Manager, Stacy Morris,6
East Asian and Pacific Affairs (EAP),female,N/A,Team Member,     Naomi Hollingsworth  ,8
Medical Services (MED),male,GS-11,Analyst,Alexis Strohmayer,6
Comptroller and Global Financial Services (CGFS),female,N/A,Team Member,    Dorothy Lassiter ,14
Human Resources (DGHR),female,FS-3,Manager,Cheree Anderson,11
Public Affairs (PA),female,GS-9,Team Member,   Elizabeth Mimnaugh,2
African Affairs (AF),male,FS-1,Manager,Zachary Cultice  ,3
Comptroller and Global Financial Services (CGFS),male,FS 6,Analyst, Ronald Craven,25
Counterterrorism (CT),male,N/A,Manager, John Quan,10
Foreign Missions (OFM),male,N/A,Team Member,Rolland Meade,13
Information Resource Management (IRM),female,SFS-4,Executive,Bobbie Kapp    ,23
Human Resources (DGHR),female,GS7,Team Member,Dianna Gwinn     ,22
Counterterrorism (CT),male,N/A,Team Member, Daniel Brooks,21
Chief Information Officer (CIO),female,N/A,Manager,Lena Abbott,3
Mission to the United Nations (USUN),male,FS-4,Team Member,Samuel Rojas   ,22
Inspector General (OIG),female,FS-1,Manager,Moore,21
Human Resources (DGHR),female,FS-4,Team Member,   Violet Lee     ,23
Administration (A),male,FS-6,Team Member,Maximo Webb,14
Educational and Cultural Affairs (ECA),female,GS-14,Mgmt,Brenda Mccroskey ,24
