Bureau,Gender,Grade,Name,Skills,YearsService
Near Eastern Affairs (NEA),male,GS-13,Milton Johnson,"Data Analysis, Email, Cloud Computing, Hydrology, Japanese",3
Science & Technology Adviser (STAS),male,FS-8,Wyatt Collins,"Disease Response, Disaster Response, Government, Web Development, Foreign Policy, tourism, Visualization, leadership, Human Resources, powerpoint, IT, Engineering",10
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Aaron Marble    ,"Economics, Government, healthcare, Excel",3
Information Resource Management (IRM),male,GS-13,Sidney Burns,"Budget, Climatology, Data Analysis, Powerpoint, Planning, Social Media, Research, hydrology, Excel, Education, Marketing, government",6
International Security and Nonproliferation (ISN),female,N/A,Betty Hunter  ,"management, Economics, Interagency, Spanish, Excel, administration",6
Counterterrorism (CT),male,N/A,   David Green ,"Editing, management, SEO, data analysis, Marketing, Healthcare",4
Foreign Service Institute (FSI),male,N/A,Edward Johnson   ,"Spanish, Economics, Design, Network Security, Email, Healthcare, government, Administration, Sharepoint, SEO",5
Counterterrorism (CT),male,N/A,   Phillip Roddy,"interagency, Japanese, Operations, Graphics, Portuguese, foreign policy, Writing, Disease Response, engineering, Management, education, Tourism",16
Near Eastern Affairs (NEA),female,GS-13,Dorothy Regan,"Budget, Portuguese",9
"Population, Refugees, and Migration (PRM)",female,FS5,    Tracy Bowen,"Foreign Policy, Powerpoint, Web Development, Data Analysis, Engineering, Planning, Disaster Response, portuguese, Excel, Operations, graphics, Finance",4
Comptroller and Global Financial Services (CGFS),female,N/A,    Albertha Faria,"Graphics, Leadership",22
Foreign Assistance (F),male,FS-6,Alejandro Green,"administration, outlook",1
Public Affairs (PA),male,FS-7,Charles Franklin ,"Foreign Policy, Japanese, Powerpoint, Leadership, Management",5
Energy Resources (ENR),male,N/A,Dexter Hazel,"Communications, Finance, Disease Response, cloud computing, management, engineering, Spanish",20
Executive Secretariat (S/ES),male,GS 10,Kim Vanderwal,"Research, SEO, Data Analysis, Web Development, Marketing, Sharepoint, Visualization, social media, Disease Response, training",19
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS 6,Christi Harrington,"Design, Hydrology, Budget, Training, disaster response, Climatology, Economics, Finance, Foreign Policy, Editing",25
Trafficking in Persons (TIP),female,GS-14,Krista Johnson,"Marketing, interagency, Human Resources, portuguese, communications, Writing, French, Economics, Engineering, Sharepoint, Disease Response",1
Global Youth Issues (GYI),female,GS 9,Ocasio  ,"SEO, Editing, chinese, Management, IT, Administration, Research, Japanese, Powerpoint",12
Executive Secretariat (S/ES),male,FS-5,    Ralph Dechant,"Writing, leadership, seo, Education",5
Mission to the United Nations (USUN),male,FS-1,Gerald Reese,"it, Web Development, network security, Government, Hydrology, Writing, Training, french, Spanish",12
Global Youth Issues (GYI),male,N/A,Andres Blair,"Leadership, Engineering, Disaster Response, spanish, visualization, Graphics, French, government, Human Resources, Communications, Japanese, Education",8
European and Eurasian Affairs (EUR),female,FS 3,Paula Thackaberry,"Tourism, Foreign Policy, leadership, Education",21
African Affairs (AF),female,FS-6,Verla Lasher,"Spanish, hydrology",15
Trafficking in Persons (TIP),male,N/A,Moises Hamel,,17
Foreign Service Institute (FSI),male,FS-4,Adam Kruse,"Data Analysis, engineering, Marketing, French, human resources, design, Climatology, Disease Response, Training, IT",21
"Arms Control, Verification and Compliance (AVC)",female,FS-5,  Aubrey Steele,"Climatology, Human Resources, Email, web development, training, Tourism, Social Media, german, communications, excel, Education, Interagency",22
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,FS4,Regina Harvey,"Economics, Interagency, Foreign Policy, Outlook, Sharepoint, Training, Healthcare, IT, Disease Response, Finance, Hydrology, Communications",24
Human Resources (DGHR),male,FS-3,Charles Casares  ,"Healthcare, Human Resources, Economics, Climatology, Network Security, Web Development, Research, Engineering",4
International Security and Nonproliferation (ISN),female,N/A, Angela Freeman  ,,16
Protocol (S/CPR),female,FS-2,Dawn Osborne,"Japanese, hydrology, french, government, Tourism, Training, it, Disaster Response, Leadership, Portuguese, Education",4
"Population, Refugees, and Migration (PRM)",male,GS12,William Dennis,"management, Cloud Computing, Foreign Policy, Administration, Communications, Research, training, Operations, Human Resources",17
Legislative Affairs (H),female,SFS-4,Andrea Behring,"Email, web development, Operations",21
Counterterrorism (CT),female,GS-8,  Judith Helder,"Design, Research, Administration, Data Analysis",2
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS-15,Jolene Mounts ,"Visualization, Communications",19
East Asian and Pacific Affairs (EAP),female,GS-12,   Deborah Mireles  ,"Graphics, Cloud Computing, SEO, Disaster Response, editing, education, German, Web Development",19
Energy Resources (ENR),female,FS-4, Taryn Falbo ,"Research, Japanese, Engineering, human resources, Planning, Tourism, french, Spanish",20
Energy Resources (ENR),male,N/A,Christian Merriweather ,"data analysis, Writing, Excel, communications, Tourism, Planning, Climatology, German, education",8
Science & Technology Adviser (STAS),female,FS-3,Taggert,"Spanish, Hydrology, Powerpoint, Research",13
"Population, Refugees, and Migration (PRM)",female,GS-8,    Leontine Alliston,"Budget, Marketing, Climatology, SEO, Data Analysis, french, German, Portuguese, engineering",11
Policy Planning Staff (S/P),female,FS-1,Anna Lawson,"Foreign Policy, Email, French, Human Resources, Communications, Editing, Hydrology, SEO, German, Operations, Budget",9
Mission to the United Nations (USUN),male,SES-2,Frank Anguiano,"portuguese, Climatology",23
Foreign Service Institute (FSI),female,N/A,Peggy Marino,French,15
Oceans and International Environmental and Scientific Affairs(OES),female,FS-7,Lopez,"Hydrology, Email, Outlook",25
Near Eastern Affairs (NEA),female,N/A,   Jacqueline Garcia,"Economics, Research, Writing, Operations, Powerpoint, French, visualization, marketing, healthcare, Hydrology, data analysis, Communications",22
Global Criminal Justice (GCJ),male,GS-12,  George Santana,"Chinese, disaster response, Communications, Planning, Healthcare, Writing",21
"Democracy, Human Rights, and Labor (DRL)",male,FS-9,   Joel Nichols,"IT, Design, Human Resources, Excel, Climatology, Portuguese, Education",24
Counterterrorism (CT),male,FS-1,Willie Hulsey,"Spanish, Operations",7
Global Youth Issues (GYI),female,FS 7, Ruth Hershberger,"social media, engineering, economics, Writing",16
South and Central Asian Affairs (SCA),female,FS-2,Lauren Farmer ,"climatology, research, Hydrology, it",8
Global Criminal Justice (GCJ),female,FS-5,Camerano  ,,13
Mission to the United Nations (USUN),male,N/A,Hosea Adams,"Disease Response, Outlook, Chinese, human resources, Web Development, Budget, Government, Interagency, Leadership, Hydrology, Sharepoint",19
Political-Military Affairs (PM),male,N/A,Michael Bartlett     ,"Administration, Operations, engineering, Writing, Social Media",3
Intelligence and Research (INR),female,FS5,Tracy Burgess,"Powerpoint, Climatology",7
Energy Resources (ENR),male,N/A,Matthew German,"Web Development, Economics, Operations, Interagency, Research, Finance",1
"Arms Control, Verification and Compliance (AVC)",female,FS-5,Adriana Rivas,"Research, Tourism, management, Interagency, Finance, Disaster Response, Cloud Computing, Japanese, Outlook",17
Counterterrorism (CT),male,GS-10,Thomas Pritchard    ,,9
Political-Military Affairs (PM),male,SFS-2,Arthur Stephens,"training, Operations",22
Budget and Planning (BP),female,FS-8,Lori Mccullen,"Operations, graphics, healthcare",14
African Affairs (AF),female,GS14,Cynthia Baker    ,"Graphics, writing, Hydrology, Disaster Response, japanese, social media",1
Mission to the United Nations (USUN),male,GS-10,Ronald Ashurst,"Chinese, Web Development, Human Resources, Writing, Interagency",5
Overseas Buildings Operations (OBO),female,GS-14,Raines,"Healthcare, Editing, planning, Foreign Policy, Japanese, German, Operations, graphics, Cloud Computing",13
Information Resource Management (IRM),female,GS-9,Christine Casteel,"Education, Spanish, French, Marketing",20
Administration (A),male,FS-5,     Rick Barrow,"Excel, Visualization, Graphics, French, Spanish, climatology, Management, IT, engineering, finance, Interagency",4
Allowances (A/OPR/ALS),male,N/A,Martin Hamilton,"Network Security, Foreign Policy, German, Administration, Disaster Response, Excel, cloud computing, tourism, Operations, Visualization, Finance",15
Overseas Buildings Operations (OBO),male,N/A,   Smith  ,"Design, Spanish, Engineering, seo, Portuguese, Education, French, Powerpoint, Sharepoint, Chinese, Budget",24
Foreign Missions (OFM),female,N/A,Ann Wolford,"Disease Response, French, editing, german, Training, Human Resources, Network Security, SEO",15
African Affairs (AF),female,N/A,  Brenda Ricks ,spanish,17
International Organization Affairs (IO),female,N/A,Isela Wittmer    ,"Editing, Sharepoint",14
Mission to the United Nations (USUN),male,GS-8,Robert Jenkins    ,"SEO, Disaster Response, Excel, French, education, Planning, Chinese, Data Analysis, Budget",16
Comptroller and Global Financial Services (CGFS),male,GS-11,Greene,"operations, Tourism, Network Security, Chinese, Research, Communications",4
Legislative Affairs (H),male,FS-7,Richard Neuhoff  ,,11
"Population, Refugees, and Migration (PRM)",female,FS-3,   Blair,"social media, Climatology, Interagency, Writing, Management, french, Graphics",17
Chief Information Officer (CIO),male,FS8,Chauncey Williams,"Writing, Climatology, excel, communications, Disease Response, foreign policy",24
"Population, Refugees, and Migration (PRM)",female,N/A,   Sandra Thomas,"Communications, Network Security, Operations, Marketing, Training, IT, Human Resources, Outlook, disaster response, writing",7
"Arms Control, Verification and Compliance (AVC)",female,FS7,Liza Harmon,disaster response,7
International Organization Affairs (IO),male,FS-1,Robin Ecton,"Engineering, Portuguese, Hydrology, marketing, climatology, Education, Administration, Human Resources, Powerpoint, network security, Editing",13
Global Women's Issues (S/GWI),male,FS-2,   Leon Quinn,"education, Interagency, Management, Data Analysis, Sharepoint, communications, Design, marketing, Foreign Policy, Chinese, cloud computing, Government",12
Chief Information Officer (CIO),female,FS-6,Brittney Meyer,"French, writing, Sharepoint, administration, IT, Economics, Human Resources, Network Security, leadership, Engineering, excel",16
Global Criminal Justice (GCJ),male,N/A,Robert Baldwin    ,"Education, Training, Web Development, Social Media, engineering, Sharepoint, Administration, network security, Leadership, Climatology, spanish, Tourism",9
Political-Military Affairs (PM),male,N/A,   Levi Christion,"Disease Response, Education, Design, foreign policy, research",18
Consular Affairs (CA),female,FS 2,    Shanda Evans,,18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-12,   Michael Woods,"Hydrology, Marketing, Interagency, IT, Planning, network security, Foreign Policy, Editing, French, Excel, management",20
Legislative Affairs (H),male,N/A,   Joseph Archer,"Chinese, Management, Network Security, Economics",9
Counterterrorism (CT),female,FS-8,Wendy Santiago,"Powerpoint, Leadership, Web Development, Editing, data analysis, budget, French, Planning, Healthcare",8
Trafficking in Persons (TIP),female,FS-1,     Janet Peralta  ,"Marketing, Communications",18
Energy Resources (ENR),female,FS-7,Browning,Visualization,7
South and Central Asian Affairs (SCA),male,N/A,John White,"writing, Human Resources, IT, Email, Climatology, Portuguese, Graphics, Design",19
Global Youth Issues (GYI),male,FS-5,Jeffrey Bradley,"Visualization, training, human resources, IT, climatology, Management, web development, Excel, Hydrology",16
Foreign Missions (OFM),female,N/A,Rebecca Blankenship,"Disaster Response, Education, Tourism, Excel, Writing, Planning, healthcare",17
Energy Resources (ENR),male,GS13,Raymond Hirst,"Management, Engineering",23
Global Youth Issues (GYI),male,FS-4,Adrian Ogden,"Operations, Visualization, Management, Disease Response, Outlook, Government, Japanese, Foreign Policy, Climatology, Editing",2
East Asian and Pacific Affairs (EAP),male,FS-7,Joseph Ford,"Design, Network Security, Management, Healthcare, japanese, Planning, Powerpoint, Foreign Policy, Marketing, Research, SEO",1
Counterterrorism (CT),male,N/A,Gregory Iverson,"interagency, French, Visualization, japanese, Graphics, Sharepoint, Training, Planning, hydrology, Disease Response",3
Conflict and Stabilization Operations (CSO),female,GS-14,Holcomb   ,"Research, german, engineering, Web Development, Healthcare, interagency, Portuguese, Japanese, management, Design",18
Diplomatic Security (DS),male,FS4,     Nathan Wasmund    ,"Marketing, outlook, French, Interagency, Healthcare, Disease Response, Social Media, Sharepoint, foreign policy, Visualization, management",9
Legislative Affairs (H),female,N/A,Brenda Moore,"Design, network security, Foreign Policy, Interagency, Research, SEO, Web Development, engineering",25
Public Affairs (PA),male,FS-9,Ronald Moses   ,"Communications, IT, German, Marketing, leadership, Tourism, Sharepoint, Spanish, Cloud Computing, Foreign Policy, Planning, Data Analysis",12
Foreign Missions (OFM),male,GS-8,Vance,"leadership, Healthcare, Management, Human Resources",14
Political-Military Affairs (PM),male,FS-6,  Ricardo Mcnally ,"healthcare, Disease Response, Japanese",9
Science & Technology Adviser (STAS),female,FS-8,Michelle Hebert,"Social Media, Government, German, Finance",12
Information Resource Management (IRM),male,FS-6,Terence Ramsey,"Leadership, Government",4
